id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
306	"siregar, petrus"	0.2258	-0.444	16	8	8	1	2020
307	"skjolding, lars michael"	-0.6126	0.2757	5	6	6	1	2017
308	"soares, amadeu m. v. m."	0.1877	-0.698	10	10	10	1	2021
309	"soares, florbela"	0.1919	-0.8049	10	10	10	1	2021
310	"soares, m. elisa"	-0.5995	0.7278	6	4	4	1	2016
311	"solomando martí, antònia"	-0.1207	-0.038	13	9	9	1	2021
312	"soto, abraham l."	0.2855	0.6725	12	9	9	1	2020
313	"sturve, joachim"	-0.6881	0.2826	5	9	9	2	2018.5
314	"su, xiaojuan"	0.9666	-0.2947	24	7	7	1	2021
315	"sulukan, ekrem"	-0.4024	0.4062	32	5	5	1	2020
316	"sun, liwei"	-0.6502	-0.4533	3	8	8	1	2020
317	"sun, shuge"	-0.121	0.2989	28	6	6	1	2021
318	"sureda, antoni"	-0.1352	0.0523	13	9	9	1	2021
319	"sökmen, teoman özgür"	-0.3856	0.4309	32	5	5	1	2020
320	"tang, yu"	-0.1796	0.3117	28	6	6	1	2021
321	"teh, swee j."	-0.2122	-0.648	17	8	8	1	2017
322	"tisler, selina"	0.5526	0.3691	9	7	7	1	2020
323	"tivefälth, malin"	-0.6292	0.383	5	5	5	1	2020
324	"trevisan, rafael"	-0.5964	-0.7916	14	9	15	3	2018.6667
325	"triebskorn, rita"	0.5832	0.4441	9	11	15	2	2020
326	"tsou, wei-ling"	0.3091	0.6071	12	9	9	1	2020
327	"tu, wenqing"	-0.6538	-0.4103	3	8	8	1	2020
328	"tudorache, christian"	0.7669	-0.1304	23	7	7	1	2019
329	"türkoğlu, medine"	-0.3669	0.4063	32	5	5	1	2020
330	"umamaheswari, sathisaran"	-0.1225	1.0535	38	4	4	1	2021
331	"uzochukwu, daniel"	-0.6435	-0.8148	14	2	2	1	2020
332	"vamvounis, george"	0.4527	-0.1483	4	9	9	1	2020
333	"van arkel, kim"	0.2477	0.3576	1	8	8	1	2020
